Country,Business,Partner Name,Partner Product Name,BI Product Name
Portugal,Animal Health,Propecuária,Nexgard 136 mg - xl - (25-50 kg) castanho 3 cp,NEXGARD DOG XL CHWTA/ 3/136MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 68 mg - l - (10-25 kg) roxo 3 cp,NEXGARD DOG L CHWTA/ 3/68MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 28 mg - m - (4-10 kg) azul 3 cp,NEXGARD DOG M CHWTA/ 3/283MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 11 mg - s - (2-4 kg) laranja 3 cp,NEXGARD DOG S CHWTA/ 3/113MG ES/PT
Portugal,Animal Health,Propecuária,Senvelgo 30 ml,SENVELGO LIQUI/30ML 1/15MG/ML ES/PT
Portugal,Animal Health,Propecuária,Frontline homegard spray 250 ml,FTL PETCARE HOM PUMPS/250ML 1/GR/CY/PT
Portugal,Animal Health,Propecuária,Frontline combo gatos 6 pp,FTL COMBO CAT TUDLI/ 6/50+60MG/05ML P
Portugal,Animal Health,Propecuária,Purevax « rcp » (cx10ds),PUREVAX RCP INJVI/3ML 10/1DS ES
Portugal,Animal Health,Propecuária,Purevax « rcp ch felv » (cx10ds),PVAX RCPCH FELV INJVI/3ML 10/1DS ES
Portugal,Animal Health,Propecuária,Purevax « rcp ch » (cx10ds),PUREVAX RCPCH INJVI/3ML 10/1DS ES
Portugal,Animal Health,Propecuária,Purevax « felv » (cx10ds),PUREVAX FELV INJVI/3ML 10/1DS ES
Portugal,Animal Health,Propecuária,Eurican  dappi-l  multi  10 ds,EURDAPPI L MUL INJSC/3ML 10/1DS FR
Portugal,Animal Health,Propecuária,Eurican  dappi-lr  10 ds,EURIC DAPPI LR INJVI/3ML 10/1DS FR
Portugal,Animal Health,Propecuária,Nexgard spectra m (75 - 15kg) 3 cp,NEXGARD SPEC M CHWTA/ 3/375+75MG ES/
Portugal,Animal Health,Propecuária,Nexgard spectra s (35 - 75kg) 3 cp,NEXGARD SPEC S CHWTA/ 3/1875+375MG E
Portugal,Animal Health,Propecuária,Previcox 227 mg x 30 cp,PREVICOX Q DOG CHWTA/ 30/227MG PT
Portugal,Animal Health,Propecuária,Previcox 227 mg x 10 cp,PREVICOX Q DOG CHWTA/ 10/227MG PT
Portugal,Animal Health,Propecuária,Proteq flu-te 10 ds,PROTEQFLU TE  R INVIM/1ML 10/1DS ES/PT
Portugal,Animal Health,Propecuária,Previcox 57 mg x 30 cp,PREVICOX Q DOG CHWTA/ 30/57MG PT
Portugal,Animal Health,Propecuária,Previcox 57 mg x 10 cp,PREVICOX Q DOG CHWTA/ 10/57MG PT
Portugal,Animal Health,Propecuária,Nexgard spectra l (15 - 30kg) 3 cp,NEXGARD SPEC L CHWTA/ 3/75+15MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard spectra xl (30 - 60kg) 3 cp,NEXGARD SPEC XL CHWTA/ 3/150+30MG ES/P
Portugal,Animal Health,Propecuária,Nexgard spectra xs (2 - 35kg) 3 cp,NEXGARD SPEC XS CHWTA/ 3/9375+1875MG
Portugal,Animal Health,Propecuária,Eurican herpes,EURIC HERP 205 INJVI/3ML 1/1DS ES/PT
Portugal,Animal Health,Propecuária,Nexgard combo l  3pp,NEXG COMB CAT L TUDLI/09ML 3/ES/PT
Portugal,Animal Health,Propecuária,Nexgard combo  s  3pp,NEXG COMB CAT S TUDLI/03ML 3/ES/PT
Portugal,Animal Health,Propecuária,Frontpro xl  25-50kg  3cp,FRONTPRO XL CHWTA/ 3/136MG PT
Portugal,Animal Health,Propecuária,Frontpro s  2-4kg  3cp,FRONTPRO S CHWTA/ 3/113MG PT
Portugal,Animal Health,Propecuária,Frontpro m  4-10kg  3cp,FRONTPRO M CHWTA/ 3/283MG PT
Portugal,Animal Health,Propecuária,Frontpro l  10-25kg  3cp,FRONTPRO L CHWTA/ 3/68MG PT
Portugal,Animal Health,Propecuária,Eurican  dap-l  multi  10 ds,EUR DAP L MULT INJSC/3ML 10/1DS FR
Portugal,Animal Health,Propecuária,Heartgard casth 23-45 kg,HGARD PL DOG L CHWTA/ 6/272UG+227MG PT
Portugal,Animal Health,Propecuária,Heartgard verde 12-22 kg,HGARD PL DOG M CHWTA/ 6/136UG+114MG PT
Portugal,Animal Health,Propecuária,Heartgard azul 11 kg,HGARD PL DOG S CHWTA/ 6/68UG+57MG PT
Portugal,Animal Health,Propecuária,Frontline tri-act xl (40-60 kg),FTL TRI-ACT XL TUDLI/ 3/4056+30288MG
Portugal,Animal Health,Propecuária,Frontline tri-act l (20-40 kg),FTL TRI-ACT L TUDLI/ 3/2704+20192MG/
Portugal,Animal Health,Propecuária,Frontline tri-act m (10-20 kg),FTL TRI-ACT M TUDLI/ 3/1352+10096MG/
Portugal,Animal Health,Propecuária,Frontline tri-act s (5-10 kg),FTL TRI-ACT S TUDLI/ 3/676+5048MG/ML
Portugal,Animal Health,Propecuária,Frontline tri-act xs (2-5 kg),FTL TRI-ACT XS TUDLI/ 3/338+2524MG/0
Portugal,Animal Health,Propecuária,Eurican pneumo 10 ds (bb / pi2),EURICAN PNEUMO INJSC/3ML 10/1DS PT
Portugal,Animal Health,Propecuária,Eurican primo 10 ds,EURICAN PRIMO INJSC/3ML 10/1DS PT
Portugal,Animal Health,Propecuária,Ronaxan 20 - 20cp,RONAXAN CPR TABS/ 20/20MG PT
Portugal,Animal Health,Propecuária,Ronaxan 100 - 10cp,RONAXAN CPR TABS/ 10/100MG PT
Portugal,Animal Health,Propecuária,Metacam inj. 2% 100 ml,METACAM 2% LIINJ/100ML 1/20MG/ML ES
Portugal,Animal Health,Propecuária,Pexion 400 mg x 100 cp,PEXION TABS/ 100/400MG ES
Portugal,Animal Health,Propecuária,Pexion 100 mg x 100 cp,PEXION TABS/ 100/100MG ES
Portugal,Animal Health,Propecuária,Rabisin fl,RABISIN ST INJVI/3ML 10/1DS PT
Portugal,Animal Health,Propecuária,Eqvalan duo 7.74 gr,EQVALAN DUO OSOPA/ 1/155+775MG/G ES/
Portugal,Animal Health,Propecuária,Eqvalan pasta 6.42gr,EQVALAN OSOPA/ 1/187MG/G PT
Portugal,Animal Health,Propecuária,Ivomec  f  50ml,IVOMEC F INJSC/50ML 1/10+100MG/ML PT
Portugal,Animal Health,Propecuária,Ivomec multiespecies inj 50 ml,IVOMEC CATTLE INJSC/50ML 1/10MG/ML PT
Portugal,Animal Health,Propecuária,Frontline combo cao monopipeta 40 - 60 kg,FTL CMBO DOG XL TUDLI/ 1/402+3618MG/4
Portugal,Animal Health,Propecuária,Frontline combo cao monopipeta 20-40kg,FTL COMBO DOG L TUDLI/ 1/268+2412/26
Portugal,Animal Health,Propecuária,Frontline combo cao monopipeta 10-20kg,FTL COMBO DOG M TUDLI/ 1/134+1206MG/1
Portugal,Animal Health,Propecuária,Frontline combo cao monopipeta 2-10 kg,FTL COMBO DOG S TUDLI/ 1/67+603MG/06
Portugal,Animal Health,Propecuária,Frontline combo gatos monopipeta,FTL COMBO CAT TUDLI/ 1/50+60MG/05ML F
Portugal,Animal Health,Propecuária,Frontline combo cao(3pp) ( xl 40/60kg ),FTL CMBO DOG XL TUDLI/ 3/402+3618MG/4
